CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
12346,326,1,77183.6,2011-01-18,1,1,5,115,7,Other
12347,3,7,4310.0,2011-12-07,5,5,5,555,15,Champions
12348,76,4,1797.24,2011-09-25,2,4,4,244,10,Can't Lose Them
12349,19,1,1757.55,2011-11-21,4,1,4,414,9,Potential Loyalists
12350,311,1,334.4,2011-02-02,1,1,2,112,4,Hibernating
12352,37,8,2506.04,2011-11-03,3,5,5,355,13,Loyal Customers
12353,205,1,89.0,2011-05-19,1,1,1,111,3,Lost
12354,233,1,1079.4,2011-04-21,1,1,4,114,6,Other
12355,215,1,459.4,2011-05-09,1,1,2,112,4,Hibernating
12356,23,3,2811.43,2011-11-17,4,3,5,435,12,Loyal Customers
12357,34,1,6207.67,2011-11-06,3,1,5,315,9,Potential Loyalists
12358,2,2,1168.06,2011-12-08,5,2,4,524,11,Potential Loyalists
12359,58,4,6310.03,2011-10-13,3,4,5,345,12,Loyal Customers
12360,53,3,2662.06,2011-10-18,3,3,5,335,11,Loyal Customers
12361,288,1,189.9,2011-02-25,1,1,1,111,3,Lost
12362,4,10,5226.23,2011-12-06,5,5,5,555,15,Champions
12363,110,2,552.0,2011-08-22,2,2,3,223,7,Need Attention
12364,8,4,1313.1,2011-12-02,5,4,4,544,13,Champions
12365,292,2,641.38,2011-02-21,1,2,3,123,6,Other
12367,5,1,168.9,2011-12-05,5,1,1,511,7,Recent Customers
12370,52,4,3541.94,2011-10-19,3,4,5,345,12,Loyal Customers
12371,45,2,1887.96,2011-10-26,3,2,4,324,9,Potential Loyalists
12372,72,3,1298.04,2011-09-29,3,3,4,334,10,Loyal Customers
12373,312,1,364.6,2011-02-01,1,1,2,112,4,Hibernating
12374,26,1,742.93,2011-11-14,4,1,3,413,8,Potential Loyalists
12375,11,2,457.5,2011-11-29,5,2,2,522,9,Promising
12377,316,2,1628.12,2011-01-28,1,2,4,124,7,Other
12378,130,1,4008.62,2011-08-02,2,1,5,215,8,Other
12379,82,2,852.24,2011-09-19,2,2,3,223,7,Need Attention
12380,22,4,2724.81,2011-11-18,4,4,5,445,13,Champions
12381,5,5,1845.31,2011-12-05,5,4,4,544,13,Champions
12383,185,5,1850.56,2011-06-08,1,4,4,144,9,Can't Lose Them
12384,29,2,585.27,2011-11-11,4,2,3,423,9,Potential Loyalists
12386,338,2,401.9,2011-01-06,1,2,2,122,5,Hibernating
12388,16,6,2780.66,2011-11-24,4,4,5,445,13,Champions
12390,80,1,549.84,2011-09-21,2,1,3,213,6,Other
12391,22,1,439.66,2011-11-18,4,1,2,412,7,Promising
12393,73,4,1582.6,2011-09-28,2,4,4,244,10,Can't Lose Them
